feature,perm_importance_mean,perm_importance_std
param_157,0.01837367322140073,0.018095823363989696
param_1071,0.010109531459349475,0.0067606836495004916
param_223,0.009692818090686051,0.0063549533261098076
param_2241,0.007128443576022492,0.0037424705825605865
param_438,0.006790986591105419,0.0048163895654332635
param_298,0.00589402256001168,0.005543597334954369
param_1656,0.005498165250679676,0.003517191154952041
param_1206,0.005128586745319796,0.002027819316755481
param_922,0.003806015491003545,0.0011669653438453175
param_2256,0.0037133188696761186,0.002796770608503117
param_204,0.00360476036795625,0.0031199322130996856
param_1909,0.003428716236466989,0.0035912937692849168
param_1621,0.003418345054480643,0.006756165871594614
param_401,0.0032800569050872143,0.0013770484015048626
param_1395,0.003134878446545475,0.005764623530939739
param_2301,0.0029759117358278742,0.0009604357104747226
param_1384,0.0027501792745117993,0.005161046568100191
param_2252,0.0027350106857214397,0.00203810834572904
param_55,0.00269916332068485,0.0011012924256976492
param_126,0.0026609944009325483,0.0011234227244477071
param_1916,0.0026593368888859327,0.0016677648541268413
param_2200,0.002590205482412511,0.0010312881945050633
param_981,0.0025458958345666804,0.001361911572153475
param_129,0.002429892004802858,0.0007016950685294727
param_1582,0.0024116322250255172,0.0010739714811540614
param_1651,0.0023829254400721256,0.0017401280566027976
param_2079,0.0023267932439066997,0.006809538662602845
param_210,0.002282047216606875,0.000978321729160786
param_1759,0.0022697983292358616,0.0008271049777711412
param_201,0.0022591215426792876,0.0008461313904218424
param_318,0.002238342656836467,0.0015959592148686932
param_530,0.0021410934741578737,0.0016496126605379175
param_440,0.0020301796904866444,0.0009721705029756666
param_1089,0.0020020063954392375,0.0012324136327068825
param_2005,0.0019607736102328576,0.0007283350146308291
param_1943,0.0019564459135773316,0.0008668920262850227
param_1485,0.0019453018218375862,0.0007138742596961579
param_1627,0.0019165775503133808,0.00200665196298526
param_2285,0.0018848987393797144,0.0013581794735735581
param_723,0.0018693906627223367,0.0010084544838934804
param_1594,0.00186211549394959,0.0016373159643327004
param_1610,0.001818268343644247,0.00533434168061904
param_598,0.001791829822524127,0.0007435851385016923
param_2135,0.001782581860331134,0.0012521088189663507
param_390,0.0017597915470042968,0.0015541309628018189
param_142,0.0017405047539749807,0.0010504031211771353
param_2391,0.001698415171021983,0.0011567794616848786
param_833,0.0016885271413568548,0.0014589782266805553
param_2260,0.0016779581067187799,0.000898569203334096
param_471,0.001618432872090514,0.0009031590039163522
param_1016,0.0015970892764971766,0.0010111341392374407
param_695,0.0015823261106164166,0.0017794047111115167
param_714,0.0015749057339039974,0.0021082758491772053
param_1276,0.0015581217171920514,0.0009177987347169093
param_1201,0.0015568381219444483,0.0014662092007147714
param_1846,0.001552733496114067,0.0010426384646605095
param_1048,0.001499211390115085,0.0004983999259099592
param_643,0.0014940356903411888,0.0007641291383164736
param_831,0.001487441734906092,0.0005030129513060158
param_1906,0.0014810618017862208,0.0008505547566400359
param_1483,0.00146966404820128,0.0011333102008850321
param_179,0.001442988827340419,0.0006337825547310486
param_2254,0.0014380496244814412,0.0006821377926412224
param_842,0.0014263239201020906,0.0011786183050830948
param_2374,0.001411795078226552,0.0010236710938244865
param_1580,0.0013475510854500828,0.0012519146213982857
param_163,0.0013400390256824491,0.0011195107565193515
param_312,0.0013358937809055283,0.0002911448595332573
param_1891,0.0013349768418768448,0.0009366136620673355
param_2437,0.0013300910515102293,0.0004964366676275394
param_330,0.0013271967356684121,0.001762489169705976
param_278,0.001314409085710544,0.001059439732171775
param_2078,0.0013006615784736165,0.0009207176471592143
param_7,0.0012899930884370913,0.00038355737327578607
param_2176,0.0012501577991793189,0.0010339961968089085
param_1853,0.0012499243749196642,0.0002913350580625636
param_835,0.0012337257560181224,0.002606427408304671
param_1097,0.0012307567462261915,0.001209452876693069
param_241,0.0012226183888398357,0.0009042040735154379
param_1280,0.0012046013243207198,0.0008508566539241265
param_1396,0.0012004329373615842,0.0018373498166651813
param_2398,0.0011947841178154839,0.0005431613538175009
param_651,0.001182376290149234,0.0009404176512258713
param_1905,0.0011604333315196947,0.0007321224476406138
param_2395,0.001154245495767947,0.0010050885847240456
param_2471,0.0011530989459141773,0.0012049766699179937
param_909,0.0011515840213960349,0.000699734376518354
param_810,0.0011500579865018957,0.0018561215463422525
param_2460,0.0011484622781835706,0.0011329252805700413
param_1400,0.0011473924159036918,0.0005334773415652361
param_2380,0.0011377158192778848,0.0012269460050253395
param_1498,0.0011325212205096856,0.0005833600479857106
param_1437,0.0011221012382936824,0.005908952016679142
param_983,0.0011207535903096754,0.00121459308211884
param_2145,0.0011151303145686465,0.0017112063191795984
param_1010,0.0011103468117064307,0.002135289044013499
param_1480,0.0011077079691873548,0.0009389548211419588
param_502,0.0011025975276295562,0.0010591256211117128
param_820,0.0011020988689084855,0.0009292949972670392
param_97,0.0010977797882526508,0.0011061978849281897
param_1612,0.001083948229355447,0.0006261873095329509
param_571,0.0010821936083485362,0.0011236195209395608
param_1884,0.0010758644504448522,0.0005717475032032343
param_926,0.0010707922593580887,0.0006843842606146255
param_46,0.0010683050895892831,0.0007149398402947879
param_633,0.0010581576288225536,0.00046787482773263906
param_511,0.0010563039087696958,0.00034182682226194266
param_2014,0.0010520522616897176,0.001640182727258022
param_1826,0.00104436558624712,0.0006162740253022344
param_2449,0.0010213030957685332,0.0007897042771001432
param_840,0.00101473594816901,0.0008564515167852692
param_1947,0.0010032241070767167,0.000622986057859325
param_528,0.0010013522254308516,0.0006815485195064143
param_1286,0.0010009094403219177,0.0008937236792984698
param_609,0.0009916110581082993,0.00027953492525654446
param_935,0.0009910982048230155,0.0004903281558124771
param_851,0.0009737186274844989,0.0007836805709403603
param_2465,0.0009713652112866899,0.0004419843211870768
param_1195,0.0009706938648599061,0.00035338647670117584
param_405,0.000961882736811881,0.0001967556728744551
param_2182,0.0009539915050778225,0.0009107913812394338
param_115,0.0009385761631044431,0.0007648070873818143
param_189,0.0009335964128073249,0.0004859583186137003
param_227,0.0009257770424597967,0.0004905946987749522
param_493,0.0009245813845741413,0.0008715564109314987
param_1457,0.0009194824301385518,0.0006654348614245147
param_403,0.0009167326942177923,0.0005465001219375944
param_692,0.0009133459690686685,0.0005046923999632417
param_1232,0.0009124849227551523,0.0006346930452020592
param_661,0.0009001661463361454,0.0003184423502776469
param_1007,0.0008992713821044162,0.00046700167133544945
param_1527,0.0008978451062616744,0.000748355903391623
param_105,0.0008833792499411298,0.0006485688362682945
param_1849,0.0008806655595508639,0.0004482485602314646
param_84,0.0008787220535626972,0.0012766990621858754
param_525,0.0008775658245528505,0.0009373707893224336
param_1256,0.0008715731702510166,0.00041488963126503763
param_1925,0.0008615281959594601,0.0010301412496991397
param_1093,0.0008602882931090461,0.0005965862969680503
param_1295,0.0008600791095145111,0.0005239389201107242
param_1317,0.0008598841361519005,0.0005849539369926583
param_1706,0.0008594116031590104,0.001110354776513349
param_1344,0.0008552124305005737,0.0004928317180362999
